N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,pigeonpeas
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram
32,76,15,28.05153602,63.49802189,7.604110177,43.35795377,lentila
2,24,38,24.55981624,91.63536236,5.922935513,111.9684622,pomegranate
91,94,46,29.36792366,76.24900101,6.149934034,92.82840911,banana
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,grapes
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
115,17,55,27.57826922,94.11878202,6.776533055,28.08253201,muskmelon
24,128,196,22.75088787,90.69489172,5.521466996,110.4317855,apple
22,30,12,15.78144173,92.51077745,6.354006744,119.035002,orange
61,68,50,35.21462816,91.49725058,6.793245417,243.0745066,papaya
18,30,29,26.7627493,92.86056895,6.420018717,224.5903664,coconut
133,47,24,24.40228894,79.19732001,7.231324765,90.8022356,cotton
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,jute
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,coffee
